,id,title,context,question,answers_x,prediction_text,answers_y,correct
8144,572864dd4b864d1900164978,Yuan_dynasty,"Many Han Chinese and Khitan defected to the Mongols to fight against the Jin. Two Han Chinese leaders, Shi Tianze, Liu Heima (劉黑馬, Liu Ni), and the Khitan Xiao Zhala (蕭札剌) defected and commanded the 3 Tumens in the Mongol army. Liu Heima and Shi Tianze served Ogödei Khan. Liu Heima and Shi Tianxiang led armies against Western Xia for the Mongols. There were 4 Han Tumens and 3 Khitan Tumens, with each Tumen consisting of 10,000 troops. The three Khitan Generals Shimobeidier (石抹孛迭兒), Tabuyir (塔不已兒) and Xiaozhacizhizizhongxi (蕭札刺之子重喜) commanded the three Khitan Tumens and the four Han Generals Zhang Rou, Yan Shi, Shi Tianze, and Liu Heima commanded the four Han tumens under Ogödei Khan.",What Han Chinese leader defected to the Mongols?,"{'text': array(['Shi Tianze, Liu Heima', 'Shi Tianze, Liu Heima',
       'Shi Tianze, Liu Heima'], dtype=object), 'answer_start': array([103, 103, 103], dtype=int32)}",Khitan Xiao Zhala,"{'text': ['Shi Tianze, Liu Heima', 'Shi Tianze, Liu Heima', 'Shi Tianze, Liu Heima'], 'answer_start': [103, 103, 103]}",False
4027,5725e95f89a1e219009ac088,Apollo_program,"About the time of the first landing in 1969, it was decided to use an existing Saturn V to launch the Skylab orbital laboratory pre-built on the ground, replacing the original plan to construct it in orbit from several Saturn IB launches; this eliminated Apollo 20. NASA's yearly budget also began to shrink in light of the successful landing, and NASA also had to make funds available for the development of the upcoming Space Shuttle. By 1971, the decision was made to also cancel missions 18 and 19. The two unused Saturn Vs became museum exhibits at the John F. Kennedy Space Center on Merritt Island, Florida, George C. Marshall Space Center in Huntsville, Alabama, Michoud Assembly Facility in New Orleans, Louisiana, and Lyndon B. Johnson Space Center in Houston, Texas.","After Apollo missions 18 and 19 were cancelled, what happened to the Saturn Vs that were never used?","{'text': array(['museum exhibits', 'museum exhibits', 'museum exhibits',
       'museum exhibits', 'museum exhibits'], dtype=object), 'answer_start': array([535, 535, 535, 535, 535], dtype=int32)}",became museum exhibits,"{'text': ['museum exhibits', 'museum exhibits', 'museum exhibits', 'museum exhibits', 'museum exhibits'], 'answer_start': [535, 535, 535, 535, 535]}",False
5802,572734af708984140094dae3,American_Broadcasting_Company,"In 2000, ABC launched a web-based promotional campaign focused around its circle logo, also called ""the dot"", in which comic book character Little Dot prompted visitors to ""download the dot"", a program which would cause the ABC logo to fly around the screen and settle in the bottom-right corner. The network hired the Troika Design Group to design and produce its 2001–02 identity, which continued using the black-and-yellow coloring of the logo and featured dots and stripes in various promotional and identification spots.","In 2000, ABC started an internet based campaign focused on what?","{'text': array(['circle logo', 'circle logo', 'circle logo'], dtype=object), 'answer_start': array([74, 74, 74], dtype=int32)}",its circle logo,"{'text': ['circle logo', 'circle logo', 'circle logo'], 'answer_start': [74, 74, 74]}",False
3597,571caac55efbb31900334dc6,Oxygen,"By the late 19th century scientists realized that air could be liquefied, and its components isolated, by compressing and cooling it. Using a cascade method, Swiss chemist and physicist Raoul Pierre Pictet evaporated liquid sulfur dioxide in order to liquefy carbon dioxide, which in turn was evaporated to cool oxygen gas enough to liquefy it. He sent a telegram on December 22, 1877 to the French Academy of Sciences in Paris announcing his discovery of liquid oxygen. Just two days later, French physicist Louis Paul Cailletet announced his own method of liquefying molecular oxygen. Only a few drops of the liquid were produced in either case so no meaningful analysis could be conducted. Oxygen was liquified in stable state for the first time on March 29, 1883 by Polish scientists from Jagiellonian University, Zygmunt Wróblewski and Karol Olszewski.",By what century did researchers see that they could liquefy air?,"{'text': array(['late 19th', '19th', '19th', 'late 19th century', '19th'],
      dtype=object), 'answer_start': array([ 7, 12, 12,  7, 12], dtype=int32)}",19th century,"{'text': ['late 19th', '19th', '19th', 'late 19th century', '19th'], 'answer_start': [7, 12, 12, 7, 12]}",False
2615,56f8cc399e9bad19000a0515,Martin_Luther,"In the 1530s and 1540s, printed images of Luther that emphasized his monumental size were crucial to the spread of Protestantism. In contrast to images of frail Catholic saints, Luther was presented as a stout man with a ""double chin, strong mouth, piercing deep-set eyes, fleshy face, and squat neck."" He was shown to be physically imposing, an equal in stature to the secular German princes with whom he would join forces to spread Lutheranism. His large body also let the viewer know that he did not shun earthly pleasures like drinking—behavior that was a stark contrast to the ascetic life of the medieval religious orders. Famous images from this period include the woodcuts by Hans Brosamer (1530) and Lucas Cranach the Elder and Lucas Cranach the Younger (1546).",In contrast how were Catholic saints portrayed?,"{'text': array(['frail Catholic saints', 'frail', 'frail'], dtype=object), 'answer_start': array([155, 155, 155], dtype=int32)}","stout man with a ""double chin, strong mouth, piercing deep-set eyes, fleshy face, and squat neck.""","{'text': ['frail Catholic saints', 'frail', 'frail'], 'answer_start': [155, 155, 155]}",False
5504,5726bc505951b619008f7c79,Victoria_and_Albert_Museum,"The V&A holds over 19,000 items from the Islamic world, ranging from the early Islamic period (the 7th century) to the early 20th century. The Jameel Gallery of Islamic Art, opened in 2006, houses a representative display of 400 objects with the highlight being the Ardabil Carpet, the centrepiece of the gallery. The displays in this gallery cover objects from Spain, North Africa, the Middle East, Central Asia and Afghanistan. A masterpiece of Islamic art is a 10th-century Rock crystal ewer. Many examples of Qur'āns with exquisite calligraphy dating from various periods are on display. A 15th-century minbar from a Cairo mosque with ivory forming complex geometrical patterns inlaid in wood is one of the larger objects on display. Extensive examples of ceramics especially Iznik pottery, glasswork including 14th-century lamps from mosques and metalwork are on display. The collection of Middle Eastern and Persian rugs and carpets is amongst the finest in the world, many were part of the Salting Bequest of 1909. Examples of tile work from various buildings including a fireplace dated 1731 from Istanbul made of intricately decorated blue and white tiles and turquoise tiles from the exterior of buildings from Samarkand are also displayed.",Approximately how many items from the Islamic world are held in the V&A collection?,"{'text': array(['over 19,000', 'over 19,000', 'over 19,000'], dtype=object), 'answer_start': array([14, 14, 14], dtype=int32)}","19,000","{'text': ['over 19,000', 'over 19,000', 'over 19,000'], 'answer_start': [14, 14, 14]}",False
2569,56f8bbb09e9bad19000a03dd,Martin_Luther,"Other scholars argue that, even if his views were merely anti-Judaic—that is, opposed to Judaism and its adherence rather than the Jews as an ethnic group—their violence lent a new element to the standard Christian suspicion of Judaism. Ronald Berger writes that Luther is credited with ""Germanizing the Christian critique of Judaism and establishing anti-Semitism as a key element of German culture and national identity."" Paul Rose argues that he caused a ""hysterical and demonizing mentality"" about Jews to enter German thought and discourse, a mentality that might otherwise have been absent. Christopher J. Probst in his book Demonizing the Jews: Luther and the Protestant Church in Nazi Germany (2012), shows that a large number of German Lutheran clergy and theologians during the Nazi Third Reich used Luther's hostile publications towards the Jews and their Jewish religion to justify at least in part the anti-Semitic policies of the National Socialists.",What did Paul Rose say Luther added to German thought?,"{'text': array(['hysterical and demonizing mentality',
       'a ""hysterical and demonizing mentality"" about Jews',
       'hysterical and demonizing mentality'], dtype=object), 'answer_start': array([459, 456, 459], dtype=int32)}","""hysterical and demonizing mentality","{'text': ['hysterical and demonizing mentality', 'a ""hysterical and demonizing mentality"" about Jews', 'hysterical and demonizing mentality'], 'answer_start': [459, 456, 459]}",False
6139,5726a8d4dd62a815002e8c38,Genghis_Khan,"As previously arranged by his father, Temüjin married Börte of the Onggirat tribe when he was around 16 in order to cement alliances between their respective tribes. Soon after Börte's marriage to Temüjin, she was kidnapped by the Merkits and reportedly given away as a wife. Temüjin rescued her with the help of his friend and future rival, Jamukha, and his protector, Toghrul Khan of the Keraite tribe. She gave birth to a son, Jochi (1185–1226), nine months later, clouding the issue of his parentage. Despite speculation over Jochi, Börte would be Temüjin's only empress, though he did follow tradition by taking several morganatic wives.",What year did Börte's give birth to Jochi?,"{'text': array(['1185', '1185', '(1185'], dtype=object), 'answer_start': array([437, 437, 436], dtype=int32)}",1185–1226,"{'text': ['1185', '1185', '(1185'], 'answer_start': [437, 437, 436]}",False
3812,57265bdfdd62a815002e82a1,1973_oil_crisis,"An increase in imported cars into North America forced General Motors, Ford and Chrysler to introduce smaller and fuel-efficient models for domestic sales. The Dodge Omni / Plymouth Horizon from Chrysler, the Ford Fiesta and the Chevrolet Chevette all had four-cylinder engines and room for at least four passengers by the late 1970s. By 1985, the average American vehicle moved 17.4 miles per gallon, compared to 13.5 in 1970. The improvements stayed even though the price of a barrel of oil remained constant at $12 from 1974 to 1979. Sales of large sedans for most makes (except Chrysler products) recovered within two model years of the 1973 crisis. The Cadillac DeVille and Fleetwood, Buick Electra, Oldsmobile 98, Lincoln Continental, Mercury Marquis, and various other luxury oriented sedans became popular again in the mid-1970s. The only full-size models that did not recover were lower price models such as the Chevrolet Bel Air, and Ford Galaxie 500. Slightly smaller, mid-size models such as the Oldsmobile Cutlass, Chevrolet Monte Carlo, Ford Thunderbird and various other models sold well.",Name a luxury model that became popular in the mid-1970s.,"{'text': array(['Lincoln Continental,', 'Cadillac DeVille', 'Cadillac DeVille',
       'Cadillac DeVille'], dtype=object), 'answer_start': array([720, 658, 658, 658], dtype=int32)}",Mercury Marquis,"{'text': ['Lincoln Continental,', 'Cadillac DeVille', 'Cadillac DeVille', 'Cadillac DeVille'], 'answer_start': [720, 658, 658, 658]}",False
9846,5730876a396df9190009617e,Imperialism,"A controversial aspect of imperialism is the defense and justification of empire-building based on seemingly rational grounds. J. A. Hobson identifies this justification on general grounds as: ""It is desirable that the earth should be peopled, governed, and developed, as far as possible, by the races which can do this work best, i.e. by the races of highest 'social efficiency'"". Many others argued that imperialism is justified for several different reasons. Friedrich Ratzel believed that in order for a state to survive, imperialism was needed. Halford Mackinder felt that Great Britain needed to be one of the greatest imperialists and therefore justified imperialism. The purportedly scientific nature of ""Social Darwinism"" and a theory of races formed a supposedly rational justification for imperialism. The rhetoric of colonizers being racially superior appears to have achieved its purpose, for example throughout Latin America ""whiteness"" is still prized today and various forms of blanqueamiento (whitening) are common.",In Latin America what is the most revered skin color?,"{'text': array(['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness'],
      dtype=object), 'answer_start': array([940, 940, 940, 940, 940], dtype=int32)}",white,"{'text': ['whiteness', 'whiteness', 'whiteness', 'whiteness', 'whiteness'], 'answer_start': [940, 940, 940, 940, 940]}",False
3992,5725e08389a1e219009ac010,Apollo_program,"The delay in the CSM caused by the fire enabled NASA to catch up on man-rating the LM and Saturn V. Apollo 4 (AS-501) was the first unmanned flight of the Saturn V, carrying a Block I CSM on November 9, 1967. The capability of the Command Module's heat shield to survive a trans-lunar reentry was demonstrated by using the Service Module engine to ram it into the atmosphere at higher than the usual Earth-orbital reentry speed. This was followed on April 4, 1968, by Apollo 6 (AS-502) which carried a CSM and a LM Test Article as ballast. The intent of this mission was to achieve trans-lunar injection, followed closely by a simulated direct-return abort, using the Service Module engine to achieve another high-speed reentry. The Saturn V experienced pogo oscillation, a problem caused by non-steady engine combustion, which damaged fuel lines in the second and third stages. Two S-II engines shut down prematurely, but the remaining engines were able to compensate. The damage to the third stage engine was more severe, preventing it from restarting for trans-lunar injection. Mission controllers were able to use the Service Module engine to essentially repeat the flight profile of Apollo 4. Based on the good performance of Apollo 6 and identification of satisfactory fixes to the Apollo 6 problems, NASA declared the Saturn V ready to fly men, cancelling a third unmanned test.","What was the technical name of the first unmanned Saturn V flight, Apollo 4?","{'text': array(['AS-501', 'AS-501', 'AS-501', 'AS-501', 'AS-501'], dtype=object), 'answer_start': array([110, 110, 110, 110, 110], dtype=int32)}",Apollo 4,"{'text': ['AS-501', 'AS-501', 'AS-501', 'AS-501', 'AS-501'], 'answer_start': [110, 110, 110, 110, 110]}",False
3354,571154c72419e31400955588,Steam_engine,"The main use for steam turbines is in electricity generation (in the 1990s about 90% of the world's electric production was by use of steam turbines) however the recent widespread application of large gas turbine units and typical combined cycle power plants has resulted in reduction of this percentage to the 80% regime for steam turbines. In electricity production, the high speed of turbine rotation matches well with the speed of modern electric generators, which are typically direct connected to their driving turbines. In marine service, (pioneered on the Turbinia), steam turbines with reduction gearing (although the Turbinia has direct turbines to propellers with no reduction gearbox) dominated large ship propulsion throughout the late 20th century, being more efficient (and requiring far less maintenance) than reciprocating steam engines. In recent decades, reciprocating Diesel engines, and gas turbines, have almost entirely supplanted steam propulsion for marine applications.",What marine engines were less efficient than steam turbines?,"{'text': array(['reciprocating steam engines', 'reciprocating',
       'reciprocating steam engines'], dtype=object), 'answer_start': array([826, 826, 826], dtype=int32)}",Diesel engines,"{'text': ['reciprocating steam engines', 'reciprocating', 'reciprocating steam engines'], 'answer_start': [826, 826, 826]}",False
8861,57296fd71d04691400779442,Chloroplast,"In the helical thylakoid model, grana consist of a stack of flattened circular granal thylakoids that resemble pancakes. Each granum can contain anywhere from two to a hundred thylakoids, though grana with 10–20 thylakoids are most common. Wrapped around the grana are helicoid stromal thylakoids, also known as frets or lamellar thylakoids. The helices ascend at an angle of 20–25°, connecting to each granal thylakoid at a bridge-like slit junction. The helicoids may extend as large sheets that link multiple grana, or narrow to tube-like bridges between grana. While different parts of the thylakoid system contain different membrane proteins, the thylakoid membranes are continuous and the thylakoid space they enclose form a single continuous labyrinth.",How many granal thylakoids are usually in each granum?,"{'text': array(['10–20', '10–20', '10–20'], dtype=object), 'answer_start': array([206, 206, 206], dtype=int32)}",two to a hundred,"{'text': ['10–20', '10–20', '10–20'], 'answer_start': [206, 206, 206]}",False
7488,5729f3883f37b319004785f4,Economic_inequality,"Plotting the relationship between level of income and inequality, Kuznets saw middle-income developing economies level of inequality bulging out to form what is now known as the Kuznets curve. Kuznets demonstrated this relationship using cross-sectional data. However, more recent testing of this theory with superior panel data has shown it to be very weak. Kuznets' curve predicts that income inequality will eventually decrease given time. As an example, income inequality did fall in the United States during its High school movement from 1910 to 1940 and thereafter.[citation needed] However, recent data shows that the level of income inequality began to rise after the 1970s. This does not necessarily disprove Kuznets' theory.[citation needed] It may be possible that another Kuznets' cycle is occurring, specifically the move from the manufacturing sector to the service sector.[citation needed] This implies that it may be possible for multiple Kuznets' cycles to be in effect at any given time.",What does Kuznets' curve predict about income inequality given time?,"{'text': array(['eventually decrease', 'eventually decrease', 'decrease'],
      dtype=object), 'answer_start': array([411, 411, 422], dtype=int32)}",income inequality will eventually decrease given time,"{'text': ['eventually decrease', 'eventually decrease', 'decrease'], 'answer_start': [411, 411, 422]}",False
4660,57268f05dd62a815002e8990,Ctenophora,"The early Cambrian sessile frond-like fossil Stromatoveris, from China's Chengjiang lagerstätte and dated to about 515 million years ago, is very similar to Vendobionta of the preceding Ediacaran period. De-Gan Shu, Simon Conway Morris et al. found on its branches what they considered rows of cilia, used for filter feeding. They suggested that Stromatoveris was an evolutionary ""aunt"" of ctenophores, and that ctenophores originated from sessile animals whose descendants became swimmers and changed the cilia from a feeding mechanism to a propulsion system.",How old were the fossils found in China?,"{'text': array(['515 million years', 'about 515 million years',
       '515 million years'], dtype=object), 'answer_start': array([115, 109, 115], dtype=int32)}",515 million years ago,"{'text': ['515 million years', 'about 515 million years', '515 million years'], 'answer_start': [115, 109, 115]}",False
6818,5728e07e3acd2414000e00eb,Civil_disobedience,"Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue. Revolutionary civil disobedience is more of an active attempt to overthrow a government (or to change cultural traditions, social customs, religious beliefs, etc...revolution doesn't have to be political, i.e. ""cultural revolution"", it simply implies sweeping and widespread change to a section of the social fabric). Gandhi's acts have been described as revolutionary civil disobedience. It has been claimed that the Hungarians under Ferenc Deák directed revolutionary civil disobedience against the Austrian government. Thoreau also wrote of civil disobedience accomplishing ""peaceable revolution."" Howard Zinn, Harvey Wheeler, and others have identified the right espoused in The Declaration of Independence to ""alter or abolish"" an unjust government to be a principle of civil disobedience. ",What is the goal of individual civil disobedience?,"{'text': array(['render certain laws ineffective',
       ""to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue"",
       'render certain laws ineffective, to cause their repeal',
       ""t to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue"",
       'to render certain laws ineffective,'], dtype=object), 'answer_start': array([170, 167, 170, 165, 167], dtype=int32)}","to render certain laws ineffective, to cause their repeal","{'text': ['render certain laws ineffective', ""to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue"", 'render certain laws ineffective, to cause their repeal', ""t to render certain laws ineffective, to cause their repeal, or to exert pressure to get one's political wishes on some other issue"", 'to render certain laws ineffective,'], 'answer_start': [170, 167, 170, 165, 167]}",False
6142,5726a9ed5951b619008f796b,Genghis_Khan,"Börte had three more sons, Chagatai (1187—1241), Ögedei (1189—1241), and Tolui (1190–1232). Genghis Khan also had many other children with his other wives, but they were excluded from the succession. While the names of sons were documented, daughters were not. The names of at least six daughters are known, and while they played significant roles behind the scenes during his lifetime, no documents have survived that definitively provide the number or names of daughters born to the consorts of Genghis Khan.",What year did two of Ghengis Khan and Börte's sons die?,"{'text': array(['1241', '1241', '1241'], dtype=object), 'answer_start': array([42, 42, 42], dtype=int32)}",1232,"{'text': ['1241', '1241', '1241'], 'answer_start': [42, 42, 42]}",False
3195,5710f4b8b654c5140001fa47,Huguenot,"Prince Louis de Condé, along with his sons Daniel and Osias,[citation needed] arranged with Count Ludwig von Nassau-Saarbrücken to establish a Huguenot community in present-day Saarland in 1604. The Count supported mercantilism and welcomed technically skilled immigrants into his lands, regardless of their religion. The Condés established a thriving glass-making works, which provided wealth to the principality for many years. Other founding families created enterprises based on textiles and such traditional Huguenot occupations in France. The community and its congregation remain active to this day, with descendants of many of the founding families still living in the region. Some members of this community emigrated to the United States in the 1890s.",What industry did the nobleman establish with this settlement?,"{'text': array(['glass-making', 'glass-making', 'glass-making'], dtype=object), 'answer_start': array([352, 352, 352], dtype=int32)}",glass-making works,"{'text': ['glass-making', 'glass-making', 'glass-making'], 'answer_start': [352, 352, 352]}",False
984,573362b94776f41900660974,Warsaw,"Building activity occurred in numerous noble palaces and churches during the later decades of the 17th century. One of the best examples of this architecture are Krasiński Palace (1677–1683), Wilanów Palace (1677–1696) and St. Kazimierz Church (1688–1692). The most impressive examples of rococo architecture are Czapski Palace (1712–1721), Palace of the Four Winds (1730s) and Visitationist Church (façade 1728–1761). The neoclassical architecture in Warsaw can be described by the simplicity of the geometrical forms teamed with a great inspiration from the Roman period. Some of the best examples of the neoclassical style are the Palace on the Water (rebuilt 1775–1795), Królikarnia (1782–1786), Carmelite Church (façade 1761–1783) and Evangelical Holy Trinity Church (1777–1782). The economic growth during the first years of Congress Poland caused a rapid rise architecture. The Neoclassical revival affected all aspects of architecture, the most notable are the Great Theater (1825–1833) and buildings located at Bank Square (1825–1828).",When did building activity in the palaces and churches take place in the later decades of?,"{'text': array(['17th century', '17th century', '17th century.'], dtype=object), 'answer_start': array([98, 98, 98], dtype=int32)}",the 17th century,"{'text': ['17th century', '17th century', '17th century.'], 'answer_start': [98, 98, 98]}",False
3481,571c3a685efbb31900334db5,Oxygen,"Oxygen is a chemical element with symbol O and atomic number 8. It is a member of the chalcogen group on the periodic table and is a highly reactive nonmetal and oxidizing agent that readily forms compounds (notably oxides) with most elements. By mass, oxygen is the third-most abundant element in the universe, after hydrogen and helium. At standard temperature and pressure, two atoms of the element bind to form dioxygen, a colorless and odorless diatomic gas with the formula O
2. Diatomic oxygen gas constitutes 20.8% of the Earth's atmosphere. However, monitoring of atmospheric oxygen levels show a global downward trend, because of fossil-fuel burning. Oxygen is the most abundant element by mass in the Earth's crust as part of oxide compounds such as silicon dioxide, making up almost half of the crust's mass.","Compared to other elements, how abundant does oxygen rank?","{'text': array(['third', 'third-most', 'third', 'third-most', 'third'],
      dtype=object), 'answer_start': array([267, 267, 267, 267, 267], dtype=int32)}",third-most abundant,"{'text': ['third', 'third-most', 'third', 'third-most', 'third'], 'answer_start': [267, 267, 267, 267, 267]}",False
6738,5727213c708984140094da39,Civil_disobedience,"Following the Peterloo massacre of 1819, poet Percy Shelley wrote the political poem The Mask of Anarchy later that year, that begins with the images of what he thought to be the unjust forms of authority of his time—and then imagines the stirrings of a new form of social action. It is perhaps the first modern[vague] statement of the principle of nonviolent protest. A version was taken up by the author Henry David Thoreau in his essay Civil Disobedience, and later by Gandhi in his doctrine of Satyagraha. Gandhi's Satyagraha was partially influenced and inspired by Shelley's nonviolence in protest and political action. In particular, it is known that Gandhi would often quote Shelley's Masque of Anarchy to vast audiences during the campaign for a free India.",Gandhi often referenced Shelley's poem in his efforts to do what? ,"{'text': array(['free India', 'free India', 'campaign for a free India',
       'protest and political action',
       'during the campaign for a free India'], dtype=object), 'answer_start': array([755, 755, 740, 596, 729], dtype=int32)}",a free India,"{'text': ['free India', 'free India', 'campaign for a free India', 'protest and political action', 'during the campaign for a free India'], 'answer_start': [755, 755, 740, 596, 729]}",False
5212,572674f6f1498d1400e8e03b,Newcastle_upon_Tyne,"In 2010, Newcastle was positioned ninth in the retail centre expenditure league of the UK. There are several major shopping areas in Newcastle City Centre. The largest of these is the Eldon Square Shopping Centre, one of the largest city centre shopping complexes in the UK. It incorporates a flagship Debenhams store as well as one of the largest John Lewis stores in the UK. John Lewis is still known to many in Newcastle as Bainbridges. Newcastle store Bainbridge's, opened in 1838, is often cited as the world’s first department store. Emerson Bainbridge (1817–1892), a pioneer and the founder of Bainbridges, sold goods via department, a new for merchant custom for that time. The Bainbridge’s official ledgers reported revenue by department, giving birth to the name department store. Eldon Square is currently undergoing a full redevelopment. A new bus station, replacing the old underground bus station, was officially opened in March 2007. The wing of the centre, including the undercover Green Market, near Grainger Street was demolished in 2007 so that the area could be redeveloped. This was completed in February 2010 with the opening of a flagship Debenhams department store as well as other major stores including Apple, Hollister and Guess.",What is one of the largest city center shopping complexes in the UK?,"{'text': array(['Eldon Square Shopping Centre,',
       'the Eldon Square Shopping Centre',
       'the Eldon Square Shopping Centre'], dtype=object), 'answer_start': array([184, 180, 180], dtype=int32)}",Eldon Square Shopping Centre,"{'text': ['Eldon Square Shopping Centre,', 'the Eldon Square Shopping Centre', 'the Eldon Square Shopping Centre'], 'answer_start': [184, 180, 180]}",False
2696,5705f7c875f01819005e77e0,Southern_California,"Southern California consists of a heavily developed urban environment, home to some of the largest urban areas in the state, along with vast areas that have been left undeveloped. It is the third most populated megalopolis in the United States, after the Great Lakes Megalopolis and the Northeastern megalopolis. Much of southern California is famous for its large, spread-out, suburban communities and use of automobiles and highways. The dominant areas are Los Angeles, Orange County, San Diego, and Riverside-San Bernardino, each of which is the center of its respective metropolitan area, composed of numerous smaller cities and communities. The urban area is also host to an international metropolitan region in the form of San Diego–Tijuana, created by the urban area spilling over into Baja California.",What kind of region can be found inside the urban area of southern California?,"{'text': array(['international metropolitan',
       'an international metropolitan region',
       'international metropolitan'], dtype=object), 'answer_start': array([680, 677, 680], dtype=int32)}",metropolitan region,"{'text': ['international metropolitan', 'an international metropolitan region', 'international metropolitan'], 'answer_start': [680, 677, 680]}",False
165,56bf23363aeaaa14008c952f,Super_Bowl_50,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francisco Bay Area since Super Bowl XIX in 1985, and the first in California since Super Bowl XXXVII took place in San Diego in 2003.",What year did Levi's Stadium become fully approved to host Super Bowl 50?,"{'text': array(['2013', '2013', '2013'], dtype=object), 'answer_start': array([11, 11, 11], dtype=int32)}",2014,"{'text': ['2013', '2013', '2013'], 'answer_start': [11, 11, 11]}",False
1750,56e1b62ecd28a01900c67aa3,Computational_complexity_theory,"For a precise definition of what it means to solve a problem using a given amount of time and space, a computational model such as the deterministic Turing machine is used. The time required by a deterministic Turing machine M on input x is the total number of state transitions, or steps, the machine makes before it halts and outputs the answer (""yes"" or ""no""). A Turing machine M is said to operate within time f(n), if the time required by M on each input of length n is at most f(n). A decision problem A can be solved in time f(n) if there exists a Turing machine operating in time f(n) that solves the problem. Since complexity theory is interested in classifying problems based on their difficulty, one defines sets of problems based on some criteria. For instance, the set of problems solvable within time f(n) on a deterministic Turing machine is then denoted by DTIME(f(n)).",The time required to output an answer on a deterministic Turing machine is expressed as what?,"{'text': array(['state transitions',
       'the total number of state transitions, or steps',
       'total number of state transitions, or steps, the machine makes before it halts and outputs the answer'],
      dtype=object), 'answer_start': array([261, 241, 245], dtype=int32)}","""yes"" or ""no""","{'text': ['state transitions', 'the total number of state transitions, or steps', 'total number of state transitions, or steps, the machine makes before it halts and outputs the answer'], 'answer_start': [261, 241, 245]}",False
3237,571117d4a58dae1900cd6c0e,Huguenot,"One of the most prominent Huguenot refugees in the Netherlands was Pierre Bayle. He started teaching in Rotterdam, where he finished writing and publishing his multi-volume masterpiece, Historical and Critical Dictionary. It became one of the 100 foundational texts of the US Library of Congress. Some Huguenot descendants in the Netherlands may be noted by French family names, although they typically use Dutch given names. Due to the Huguenots' early ties with the leadership of the Dutch Revolt and their own participation, some of the Dutch patriciate are of part-Huguenot descent. Some Huguenot families have kept alive various traditions, such as the celebration and feast of their patron Saint Nicolas, similar to the Dutch Sint Nicolaas (Sinterklaas) feast.",Who is the patron saint of the Huguenots?,"{'text': array(['Saint Nicolas', 'Saint Nicolas', 'Saint Nicolas'], dtype=object), 'answer_start': array([696, 696, 696], dtype=int32)}",Nicolas,"{'text': ['Saint Nicolas', 'Saint Nicolas', 'Saint Nicolas'], 'answer_start': [696, 696, 696]}",False
8448,572914f46aef051400154a46,Kenya,"With International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto related to the 2007 election aftermath, US President Barack Obama chose not to visit the country during his mid-2013 African trip. Later in the summer, Kenyatta visited China at the invitation of President Xi Jinping after a stop in Russia and not having visited the United States as president. In July 2015 Obama visited Kenya, as the first American president to visit the country while in office.",What was the result of the 2007 election? ,"{'text': array(['h International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto',
       'International Criminal Court trial dates',
       'International Criminal Court trial dates'], dtype=object), 'answer_start': array([3, 5, 5], dtype=int32)}",International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto,"{'text': ['h International Criminal Court trial dates in 2013 for both President Kenyatta and Deputy President William Ruto', 'International Criminal Court trial dates', 'International Criminal Court trial dates'], 'answer_start': [3, 5, 5]}",False
1068,56dde0ba66d3e219004dad76,Normans,"In the course of the 10th century, the initially destructive incursions of Norse war bands into the rivers of France evolved into more permanent encampments that included local women and personal property. The Duchy of Normandy, which began in 911 as a fiefdom, was established by the treaty of Saint-Clair-sur-Epte between King Charles III of West Francia and the famed Viking ruler Rollo, and was situated in the former Frankish kingdom of Neustria. The treaty offered Rollo and his men the French lands between the river Epte and the Atlantic coast in exchange for their protection against further Viking incursions. The area corresponded to the northern part of present-day Upper Normandy down to the river Seine, but the Duchy would eventually extend west beyond the Seine. The territory was roughly equivalent to the old province of Rouen, and reproduced the Roman administrative structure of Gallia Lugdunensis II (part of the former Gallia Lugdunensis).",Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,"{'text': array(['King Charles III', 'King Charles III', 'King Charles III'],
      dtype=object), 'answer_start': array([324, 324, 324], dtype=int32)}",King Charles III of West Francia,"{'text': ['King Charles III', 'King Charles III', 'King Charles III'], 'answer_start': [324, 324, 324]}",False
